id_municipio,uf,municipio,easting,northing
3396,PR,Missal,-435098.795,7192692.358
3397,PR,Moreira Sales,-315714.115,7316614.118
3398,PR,Morretes,114374.63,7176969.171
3399,PR,Munhoz de Melo,-194500.246,7424129.73
3400,PR,Nossa Senhora das Graças,-198240.345,7449940.949
3401,PR,Nova Aliança do Ivaí,-279766.509,7416522.929
3402,PR,Nova América da Colina,-85102.039,7408276.586
3403,PR,Nova Aurora,-338319.507,7262023.066
3404,PR,Nova Cantu,-266964.501,7250113.156
3405,PR,Nova Esperança,-238546.5,7417989.423
3406,PR,Nova Esperança do Sudoeste,-329611.905,7108454.359
3407,PR,Nova Fátima,-69247.072,7397587.184
3408,PR,Nova Laranjeiras,-260843.053,7179742.616
3409,PR,Nova Londrina,-321789.441,7460351.491
3410,PR,Nova Olímpia,-328045.681,7381034.264
3411,PR,Nova Prata do Iguaçu,-339797.221,7138603.811
3412,PR,Nova Santa Bárbara,-88369.883,7379688.14
3413,PR,Nova Santa Rosa,-409962.766,7264196.84
3414,PR,Nova Tebas,-205151.568,7279544.082
3415,PR,Novo Itacolomi,-164101.222,7356761.237
3416,PR,Ortigueira,-101731.59,7310213.629
3417,PR,Ourizona,-236609.688,7393166.148
3418,PR,Ouro Verde do Oeste,-402397.213,7228379.763
3419,PR,Paiçandu,-220889.742,7388347.183
3420,PR,Palmas,-197582.047,7051694.202
3421,PR,Palmeira,-3910.425,7178442.637
3422,PR,Palmital,-228758.772,7228408.426
3423,PR,Palotina,-399540.913,7285324.967
3425,PR,Paranacity,-234967.985,7446318.237
3426,PR,Paranaguá,145900.597,7173212.89
3427,PR,Paranapoema,-229872.976,7478747.413
3428,PR,Paranavaí,-265737.12,7427817.99
3424,PR,Paraíso do Norte,-279368.813,7404688.099
3429,PR,Pato Bragado,-436674.71,7245002.273
3430,PR,Pato Branco,-267568.201,7076131.07
3431,PR,Paula Freitas,-93147.233,7087411.546
3432,PR,Paulo Frontin,-83888.033,7106084.57
3433,PR,Peabiru,-248755.691,7335771.289
3434,PR,Perobal,-358150.316,7331778.679
3438,PR,Pinhais,78209.202,7179365.813
3440,PR,Pinhal de São Bento,-350546.279,7092960.799
3439,PR,Pinhalão,-15256.116,7358932.597
3441,PR,Pinhão,-168533.316,7141279.532
3443,PR,Piraquara,91325.054,7179858.819
3442,PR,Piraí do Sul,-1116.577,7278032.402
3444,PR,Pitanga,-184477.043,7244800.058
3445,PR,Pitangueiras,-174965.543,7415876.868
3437,PR,Piên,56388.965,7106072.778
3446,PR,Planaltina do Paraná,-313015.781,7433306.707
3447,PR,Planalto,-381319.032,7125792.355
3448,PR,Ponta Grossa,-21447.239,7214918.516
3449,PR,Pontal do Paraná,147516.846,7155786.584
3450,PR,Porecatu,-155916.061,7469579.171
3451,PR,Porto Amazonas,7890.281,7166179.29
3452,PR,Porto Barreiro,-245376.951,7153549.657
3453,PR,Porto Rico,-350770.152,7457540.641
3454,PR,Porto Vitória,-123450.781,7090788.016
3455,PR,Prado Ferreira,-161075.714,7437942.18
3456,PR,Pranchita,-376730.942,7092391.565
3457,PR,Presidente Castelo Branco,-232914.824,7407533.59
3458,PR,Primeiro de Maio,-119363.374,7460207.861
3459,PR,Prudentópolis,-102641.794,7198260.969
3435,PR,Pérola,-386829.366,7340220.148
3436,PR,Pérola d`Oeste,-378604.609,7114788.805
3460,PR,Quarto Centenário,-321447.461,7291140.521
3461,PR,Quatiguá,-2093.098,7385078.531
3462,PR,Quatro Barras,89671.897,7188118.337
3463,PR,Quatro Pontes,-411296.252,7252242.989
3464,PR,Quedas do Iguaçu,-296899.091,7161577.047
3465,PR,Querência do Norte,-371033.762,7421799.937
3466,PR,Quinta do Sol,-227384.104,7343649.213
3467,PR,Quitandinha,49148.25,7130599.894
3468,PR,Ramilândia,-412052.573,7191167.45
3469,PR,Rancho Alegre,-106571.44,7436701.095
3470,PR,Rancho Alegre d`Oeste,-308409.081,7288982.947
3471,PR,Realeza,-356890.269,7121809.697
3472,PR,Rebouças,-71609.563,7153747.298
